Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.82024E-5,3.75031365,0.141697713,0.418581714,0.029850746,0.03030303
3.97949E-5,4.003885428,0.147147392,0.412170826,0.034825871,0.03030303
4.21329E-5,4.25303364,0.15508568,0.406154453,0.034825871,0.03030303
4.40558E-5,4.500764128,0.161559077,0.400532597,0.034825871,0.03030303
4.58867E-5,4.752188292,0.167676417,0.39500937,0.034825871,0.03030303
4.88117E-5,5.003344039,0.177357181,0.38978203,0.039800995,0.03030303
5.04481E-5,5.251779201,0.182723991,0.384850577,0.044776119,0.03030303
5.2295E-5,5.503372524,0.18873904,0.380017753,0.044776119,0.03030303
5.51351E-5,5.750016084,0.197902587,0.375480817,0.049751244,0.045454545
5.69371E-5,6.008400125,0.203662786,0.37094388,0.049751244,0.045454545
5.81856E-5,6.250358238,0.207629448,0.36680146,0.049751244,0.045454545
6.00363E-5,6.504451284,0.213473288,0.36256041,0.049751244,0.045454545
6.23273E-5,6.755838507,0.220647623,0.358516619,0.049751244,0.045454545
6.50457E-5,7.005523227,0.22907538,0.354670086,0.049751244,0.045454545
6.62604E-5,7.254915599,0.232811919,0.350922182,0.049751244,0.045454545
6.78526E-5,7.502674731,0.237682192,0.347272907,0.049751244,0.045454545
7.11755E-5,7.752990478,0.247746959,0.343722261,0.049751244,0.045454545
7.32209E-5,8.006289478,0.253876059,0.340270244,0.049751244,0.045454545
7.48208E-5,8.250955676,0.258635354,0.337015485,0.054726368,0.060606061
7.60015E-5,8.50722966,0.262127944,0.333662097,0.054726368,0.060606061
7.88891E-5,8.754510728,0.270601101,0.330505967,0.054726368,0.060606061
8.18317E-5,9.003540244,0.279135652,0.327448466,0.059701493,0.060606061
8.35552E-5,9.252036977,0.284087837,0.324489595,0.069651741,0.060606061
8.51381E-5,9.513964349,0.288606041,0.321432094,0.069651741,0.075757576
8.63842E-5,9.754036004,0.292142874,0.31867048,0.069651741,0.075757576
8.80304E-5,10.006790933,0.296788189,0.315810238,0.069651741,0.075757576
9.12042E-5,10.258344691,0.305658754,0.313048624,0.069651741,0.075757576
9.42565E-5,10.500504438,0.314083845,0.310484269,0.069651741,0.075757576
9.61681E-5,10.757911917,0.319308402,0.307821284,0.069651741,0.075757576
9.73931E-5,11.000198306,0.322635259,0.305355558,0.069651741,0.075757576
9.81348E-5,11.254468312,0.324641737,0.302791202,0.069651741,0.090909091
9.96467E-5,11.501459056,0.328713397,0.300325476,0.069651741,0.090909091
1.0284E-4,11.754585727,0.337234045,0.297859749,0.069651741,0.090909091
1.06562E-4,12.006290157,0.347025167,0.295492652,0.069651741,0.090909091
1.07884E-4,12.252595623,0.350470281,0.293224184,0.069651741,0.090909091
1.09534E-4,12.513756136,0.354743694,0.290857086,0.069651741,0.121212121
1.10789E-4,12.756331312,0.357972785,0.288687247,0.074626866,0.136363636
1.1137E-4,13.000725089,0.35946388,0.286517408,0.074626866,0.136363636
1.13334E-4,13.258599947,0.364474551,0.28424894,0.074626866,0.136363636
1.17135E-4,13.50108197,0.374065367,0.28217773,0.074626866,0.136363636
1.19887E-4,13.750312842,0.380916511,0.280106519,0.074626866,0.136363636
1.22985E-4,14.017787839,0.388539793,0.27793668,0.07960199,0.136363636
